lon,lat,HGT surface d=2019080707 anl
279.147553,32.734845,0
279.174305,32.732486,0
279.201056,32.730123,0
279.227806,32.727755,0
279.254555,32.725382,0
279.281303,32.723005,0
279.308049,32.720624,0
279.334795,32.718238,0
279.361539,32.715847,0
279.388282,32.713453,0
279.415025,32.711053,0
279.441766,32.708650,0
279.468505,32.706242,0
279.495244,32.703829,0
279.521982,32.701412,0
279.548718,32.698991,0
279.575454,32.696565,0
279.602188,32.694134,0
279.628921,32.691699,0
279.655653,32.689260,0
279.682383,32.686816,0
279.709113,32.684368,0
279.735842,32.681915,0
279.762569,32.679458,0
279.789295,32.676997,0
279.816020,32.674531,0
279.842744,32.672060,0
279.869467,32.669586,0
279.896188,32.667106,0
279.922909,32.664622,0
279.949628,32.662134,0
279.976346,32.659642,0
280.003063,32.657144,0
280.029778,32.654643,0
280.056493,32.652137,0
280.083206,32.649626,0
280.109918,32.647111,0
280.136629,32.644592,0
280.163339,32.642068,0
280.190048,32.639540,0
280.216755,32.637007,0
280.243462,32.634470,0
280.270167,32.631928,0
280.296871,32.629382,0
280.323573,32.626832,0
280.350275,32.624277,0
280.376975,32.621718,0
280.403674,32.619154,0
280.430372,32.616586,0
280.457069,32.614013,0
280.483765,32.611436,0
280.510459,32.608854,0
280.537152,32.606268,0
280.563844,32.603678,0
280.590534,32.601083,0
280.617224,32.598483,0
280.643912,32.595879,0
280.670599,32.593271,0
280.697285,32.590659,0
280.723970,32.588041,0
280.750653,32.585420,0
280.777335,32.582794,0
280.804016,32.580163,0
280.830696,32.577528,0
280.857374,32.574889,0
280.884051,32.572245,0
280.910727,32.569597,0
280.937402,32.566944,0
280.964076,32.564287,0
280.990748,32.561626,0
281.017419,32.558960,0
281.044089,32.556289,0
281.070757,32.553614,0
281.097424,32.550935,0
281.124091,32.548251,0
281.150755,32.545563,0
281.177419,32.542871,0
281.204081,32.540174,0
281.230742,32.537472,0
281.257402,32.534766,0
281.284060,32.532056,0
281.310717,32.529341,0
281.337373,32.526622,0
281.364028,32.523898,0
281.390682,32.521170,0
281.417334,32.518437,0
281.443984,32.515700,0
281.470634,32.512959,0
281.497282,32.510213,0
281.523929,32.507463,0
281.550575,32.504708,0
281.577220,32.501949,0
281.603863,32.499185,0
281.630505,32.496417,0
281.657145,32.493645,0
281.683784,32.490868,0
281.710422,32.488087,0
281.737059,32.485301,0
281.763695,32.482511,0
281.790329,32.479716,0
281.816961,32.476917,0
281.843593,32.474114,0
281.870223,32.471306,0
281.896852,32.468493,0
281.923480,32.465677,0
281.950106,32.462855,0
281.976731,32.460030,0
282.003354,32.457200,0
282.029977,32.454365,0
282.056598,32.451526,0
282.083217,32.448683,0
282.109836,32.445835,0
282.136453,32.442983,0
282.163068,32.440126,0
282.189683,32.437265,0
282.216296,32.434399,0
282.242907,32.431530,0
282.269518,32.428655,0
282.296127,32.425776,0
282.322734,32.422893,0
282.349341,32.420006,0
282.375946,32.417113,0
282.402549,32.414217,0
282.429152,32.411316,0
282.455753,32.408411,0
282.482352,32.405501,0
282.508951,32.402587,0
282.535547,32.399668,0
282.562143,32.396745,0
282.588737,32.393817,0
282.615330,32.390886,0
282.641921,32.387949,0
282.668511,32.385008,0
282.695100,32.382063,0
282.721687,32.379114,0
